,content
13,"#weekendvibes 
#lifelonglearning 
#inspiringquotes 
#Mindfulness 
#FamilyMatters 
#ThinkBIGSundayWithMarsha https://t.co/iHefzs0yMk"
14,"Why Are You So Afraid Of Silence. Silence Is The Root Of Everything.
~ Rumi 

#lifelonglearning 
#weekendvibes 
#Mindfulness 
#inspiringquotes 
#ThinkBIGSundayWithMarsha https://t.co/MTEq7VkU48"
15,I just unlocked a new badge on upGrad. I am doing the Python for ML  course with upGrad and it feels great to stay ahead of the competition. You too can keep yourself future-ready at upGrad.  https://t.co/GpHkqCtaNb #upgrad #KaamKiDegree #LifeLongLearning
16,".@IMFNews projects that 11% of jobs currently held by women are at risk of elimination as a result of digi technologies. Good news is, we can meet this challenge head-on, right now. Discover our top 10 #hacks for fitting #LifelongLearning into your life...https://t.co/Y8rvvLCCp8 https://t.co/9zNLDEdnCC"
17,"What are you going to learn today?

https://t.co/IP2mADKDdr 

#education #lifelonglearning https://t.co/sSYPYalDRJ"
18,"#lifecoaching 
#positivethinking 
#lifelonglearning
#LightUpTheLove #LUTL
#IAMChoosingLove 
#ThinkBIGSundayWithMarsha https://t.co/6Dieyf3e3O"
19,"Time to engage new perspectives and consciousnesses  …. When you outgrow you have grown….#lifelonglearning 
🌞🧘🏽☮️"
20,"✨ If you would like to be kept in the loop on everything Neurochild please submit your details here https://t.co/WAhHtCA5im

#neurochild #play #lifelonglearning #stories #usefulness #workethic https://t.co/RPnpwv63Sq"
21,Learn more about Emergency and Critical Care with Part 2 of our Online Course for VNs tutored by Chloe Fay. 7-27 March. Only £159 +VAT! Book today! #vetcpd2022 #vetnursechatter #veterinaryvoices #vetmums #veterinaryeducation #lifelonglearning #WhatVNsDo - https://t.co/VkSYqLYk40 https://t.co/KVnxHH2zAo
22,"Word of the Day

INNOCUOUS: not harmful 

Eg: No matter how innocuous it may sound, it’s not recommended to go ahead in the trek without a certified climber.
#LearnEnglish #Learning #LearnDaily #lifelonglearning #WordOfTheDay @THE_RAJESHARMA"
23,Landed yesterday and straight to work attending a coaching working shop in the Faroes Islands International stadium. Theme of the workshop was the getting kids to participate in the game and the future player and Coerver presented on this. #lifelonglearning https://t.co/943buyMnel
24,#coachlaura #learnwithlaura #teacher #leader #coach #lifelonglearning #lifelonglearner https://t.co/SP3qlaUTzp
25,"You can't climb the ladder of success with your hands in the pocket.

#lifelonglearning #successful"
26,"Its all about travel.
#Malmo 
#Sweden 
#travelphotography #Travel #traveling #Traveller #journey #lifelonglearning https://t.co/cexQHrBwBf"
27,#thoughtoftheday (to self) You need to invest in yourself before investing in others #motivation #lifelonglearning #mentortips https://t.co/nOUftwo3Rc https://t.co/68WSaf1rw3 https://t.co/bQn1bUYBu7
28,"Yes, I offer open to the public webinars and hope you join me soon! But I'm known for my bespoke training modules for my fabulous clients! ~ #DTN #lifelonglearning #upurgame https://t.co/PtrVDMY7yD"
29,i made the kind of tutorial i wish someone had made for me when I first started out in machine learning https://t.co/EPvxgpvIqO #DeepLearning #lifelonglearning #ML
30,How does #lifelonglearning enable businesses in the digital era that are digital ready? https://t.co/pLO1Xf0SBU
31,"#lifecoaching 
#positivethinking 
#weekendwisdom 
#lifelonglearning 
#JoyTrain
#GoldenHearts 
#StarfishClub 
#ThinkBigSundaywithMarsha https://t.co/vqghjG1ybN"
32,#thoughtoftheday (to self) You need to invest in yourself before investing in others #motivation #lifelonglearning #mentortips https://t.co/nOUftwo3Rc https://t.co/68WSaf1rw3 https://t.co/oY5CPVTBgg
33,"Done✅ Feels so good to have it done, but now we wait with anticipation to see if I’m an official @AppleEDU Learning Coach 😬⏳Excited about working on my plans!! #lifelonglearning https://t.co/AR2RjsqcBj"
34,"My view while working on my manuscript on this cold, rainy day. One day, this won't be my view, but for now, I'm going to continue the #research and #Hardwork in front of me so I can cont to grow as an #educator.
#doctorate 
@LibertyUniver 
#lifelonglearning 
#NeverGiveUp https://t.co/klx6S4mOSO"
35,&amp; Apparently nightmare on elm street 4 🥴 #lifelonglearning thanks @primevideouk
36,The apprentices from HGS in the GSS Apprenticeship Programme had our full support while completing their final assessment today. We wish you the very best and know you will continue to make us proud! #youvegotthis #gssjamaica #PEAKsquad #lifelonglearning #gssapprentices https://t.co/mE1IhNZDGm
37,"#lifelonglearning 
#WeekendWisdom 
#Mindfulness 
#inspiringquotes 
#ThinkBIgSundaywithMarsha https://t.co/kKF1oKVCy1"
38,"#PositiveVibesOnly 
#SaturdayMotivation 
#WeekendWisdom 
#lifelonglearning 
#JoyTrain 
#GoldenHearts 
#ThinkBigSundaywithMarsha https://t.co/vDxlbQ8TzW"
39,"Clip 5: The importance of #FamilySupport for #Recovery from #ProblemGambling.

#NYCPG2022 #PGRC #Prevention #Treatment #LifeLongLearning
https://t.co/scLTLySmwz https://t.co/ttDzlrYdNB"
40,I just unlocked a new badge on upGrad. You too can keep yourself future-ready at upGrad.  https://t.co/nvEcObqrRe #upgrad #KaamKiDegree #LifeLongLearning
41,Edcamp Bryan 2022 in the books! Lots of great sessions! #collaboration #EdCampBryan #lifelonglearning @RichmondHill_PS @EdCampBryan https://t.co/qK9l2kMgFV
42,@KamiApp Love spending another Saturday learning with the world! Steve is validating us with his words! Thank you for this opportunity! #teachers #lifelonglearning
43,"Find out how Autodesk Civil 3D training for engineers helped the organization increase overall efficiency of its teams.
 Watch the video: https://t.co/dK4o2B6n4d

#SuccessStory #Autodesk #Civil3D #AutodeskTraining #NetComLearning #LifeLongLearning"
44,Spending the morning learning more about Google and all the ways we can utilize it to engage students!  @CyFairEdTech #engage2learn #lifelonglearning https://t.co/2lh7xtXaSM
45,"#weekendvibes 
#mindsetiseverything 
#lifelonglearning 
#ThinkBIGSundayWithMarsha https://t.co/CAmIRn6VMa"
46,Spent the morning learning about Kentucky’s native population and their history! #lifelonglearning @AchieveKedc #AchievED https://t.co/eHnvE5ZcVA
47,"#lifecoaching 
#positivethinking 
#weekendvibes 
#lifelonglearning 
#JoyTrain 
#GoldenHearts 
#StarfishClub 
#ThinkBIGSundayWithMarsha https://t.co/KvDJH5yVxN"
48,"More CPD reading! Can’t wait to get into this tomorrow!
Side note: Am I getting boring in my now (almost) late 30’s? It’s payday weekend, I’ve bought books and pyjamas, and I’m excited about it? Kind answers only. #cpd #lifelonglearning #books #BPD #respisbest https://t.co/14WYB6F4KM"
49,Getting ready &amp; excited for the #virtualmathsummit Thanks to @BuildMathMinds This is free PD w/ like minded math educators 💙 Kick off with @unfoldthesoul in less than 10 minutes! #mathschat #lifelonglearning https://t.co/dhsmQ3BO0Y
50,"#life is all about blossoming yourself. Think over whether you are blossoming yourself or the opposite person in the place where you are dwelling or working? If it's latter, it's better to call it off n take off on your own

#LifeLessons
#lifestyle 
#lifelonglearning"
51,"This is a great national picture and in  #Somerset we are seeing a real increase too. @SomersetCouncil have been really lucky to recruit some amazing #apprentices and #Kickstarters, now an integral part of the team and the future of our county #LifeLongLearning https://t.co/REFOIJCgbJ"
52,Great day yesterday at @GlazierClinics. Got to see &amp; touch base with old friends and learn from the best. We are in the greatest profession in the world. Looking forward to another productive day. #lifelonglearning
53,A little collab with @carlyvirtualpro 😂  Never to old to learn. #lifelonglearning #Students #Virtual_Assistant https://t.co/SToQsHzhOy
54,"@DerekAshmore1 @FAICoachEd @jayglynn2167 Congratulations 

#lifelonglearning 
#realitybasedlearning
#learnercentred
#UEFAcoaching"
55,📚⚽️ Fantastic to have 34 women complete their PDP1 in Eamonn Deacy Park this weekend. Some really good discussion and peer to peer learning over the two days and we look forward to continuing that development over the course of 2022. #lifelonglearning https://t.co/2PPg6WJAYB
56,"I love broadening my understanding. I’ve had this book on my list for a while, and figured now would be a great time to buy it. 

#lifelonglearning 
#books https://t.co/5QnoRay4I3"
57,"When reading my quotes focus your attention beyond the words to the ""why's"" within them. If there's a link with the quote consider reading the associated article.

https://t.co/GNjnH5etV9 

.

#lifelonglearning 
#growth #payattention 
#motivation #awareness 
#TheTwinPowers #Quote https://t.co/nnnielbThZ"
58,"Happiness is not a station you arrive at, but a manner of traveling.
—Margaret Lee Runbeck

✨ If you would like to be kept in the loop on everything Neurochild please submit your details here https://t.co/WAhHtCA5im

#neurochild #empathy #lifelonglearning https://t.co/2DrUbTgLMF"
59,High Risk Anaesthesia – update your knowledge! Online Course: 7-27 March. Only £159 +VAT! Book today! #vetcpd2022 #vetnursechatter #veterinaryvoices #vetmums #veterinaryeducation #lifelonglearning #WhatVNsDo - https://t.co/dvAeFmk3WG https://t.co/A5SF05skd7
60,"Memories of my ‘virtual’ graduation last year. #UWL #PostGraduate #StrategicWorkforcePlanning. Hopefully another graduation this year when I successfully complete #NMP post graduate studies with @QUBSONM in May 2022.
#BelieveToAchieve #LifeLongLearning #NursingGoals #PatientCare. https://t.co/Su8jSiXqkn"
61,"Reduce risk of #dementia: with #lifelonglearning, exercise, social interaction, healthy diet.

Interesting study from University of Tsukuba
Food for thought: A high-fiber diet may reduce risk of dementia https://t.co/CP7KoALzzy
 
#chess #dancing #walking #gardening #volunteering https://t.co/n0xDfne22n"
62,#thriveglobal #lifeworkbalance #lifecoach #lifehacks #personaldevelopment #lifelonglearning #motivation #inspire https://t.co/QCUySbL9We
63,#lifelonglearning @dwengo ondersteunt leerkrachten @STEMtechniek https://t.co/Kg1faWJpOw
64,"Back to being a student after 12 long years . . 
#lifelonglearning #singlemom #cancersurvivor https://t.co/5wbxs092gQ"
65,#coachlaura #learnwithlaura #teacher #leader #coach #lifelonglearning #lifelonglearner https://t.co/4HHxIsjSZX
66,"You don’t need to aspire to being a performer to benefit from the Arts. 
🎭🕺🎶 Something I love about my job is watching students demonstrate growth in these areas during the time I’m blessed to work with them. #performingartsteacher #drama #dance #music #lifelonglearning https://t.co/1FO2xeCg4M"
67,"Did you transition into the reserve and start a career in the Police? We can combine your regular, reserve and police experience to ensure your entire career is recognised with relevant qualifications. #learnleadsucceed #veterans #police #army #navy #raaf #lifelonglearning #avob https://t.co/Rb5UlTdyCL"
68,"At the crossroads of opportunity and hard work lies endless potential.
#lifelonglearning"
69,"3 goals 🎯

3 months 📆

3 other people 👤

Unlock the secret to learning here: https://t.co/IUoOfhTYAB

#sustainability #lifelonglearning #leadership #collaboration #education #health https://t.co/BxGGjDkkh5"
70,"@LMatejo I had so much fun being there, and I even learned some new things!! #LifelongLearning #SMCISD #RattlerNation"
71,"I couldn’t have a degree
I can not earn money
I have a baby 
why can’t I be happy with what I have why can’t I just stay below people 
Why am I under someone 
I am nobody to anybody without someone 
Am I just someone’s property
Why am I who am I is it really me
#lifelonglearning"
72,@bobgourley Thanks Bob. #lifelonglearning @AFCEA @AFCEA_Intel
73,"I like listening to stories. Specially when it is the little humans who read them to me. 
#ReadToADog
#lifelonglearning https://t.co/2eEclv05Hl"
74,"#LifelongLearning I read #obituary &amp; interviews 2honour recently dead. //Dr. #PaulFarmer was a towering figure in #GlobalPublicHealth [...] died suddenly in his sleep on February 21, 2022, at the age of 62.// IDEAS: #equity #humanity in #healthcare
Listen: https://t.co/P0DACWaMT7 https://t.co/HyYveM0Kq5"
75,I can relate..I had no help with my kids when they were babies. I had to take them with me to class for my Masters Degree. #lifelonglearning #singlemom #education https://t.co/Y1MZdEvKzv
76,Had a fabulous time in Denton with @MrsAleman21 at the @TransitionTexas Conference. We learned a ton of new things and met a bunch of wonderful leaders in transition! #lifelonglearning #professionaldevelopment #rpnd #maydeforthis #frozen https://t.co/ducnchMOrQ
77,"P wrapped up book #7 of 24 for 2022.  @Atul_Gawande’s “Being Mortal” was a serious read about aging and the final days of our lives.  Grateful to have read it, as it was very eye opening. 👀 

#MP2Day #LifelongLearning #GrowthGoals #growth https://t.co/wiVCm5MYXA"
78,"Uncertainty sucks. 
You know what sucks even more? 
Not knowing how to deal with it.

Learn to deal with it 🧠. 

#LearnEnglish #learn #onlinelearning #educationmatters #lifelonglearning #WeekendWisdom #weekendreflection"
79,"When I was a master'sstudent, I was young(et), single, and worked part time. FF 15+ years. I'm a grad student again but I'm married, a mum, work full time. It's hard! But still love being a student. #lifelonglearning #EdDlife"
80,"Fun Friday night. Some light reading for my Math Specialist AQ. It’s always great to read that as a teacher, I’m doing a lot right but also gaining new insight into what I can do better. #lifelonglearning https://t.co/Y1QliR4oP5"
81,#lifelonglearning don't quit. https://t.co/9mLL2xEY3f
82,"You can make a difference in public policy. Albertus will give you the tools you need.

Learn more about our Master of Public Administration Program during our virtual information session on Tuesday, March 1 at 5:30PM. Sign up at https://t.co/bts6PTO0gU

#LifeLongLearning https://t.co/2Orui9rkJz"
83,Pets make you smarter and happier according to new research. #LifelongLearning https://t.co/Nen1iuxuFT
84,#lifelonglearning https://t.co/OCaY0KP8xN
85,@KensingtonRoyal Don’t forget to look closer to home too. There are many innovative educational projects going on in the UK. And let’s use these pioneering approaches beyond the early years. A love of learning must continue past age 4. #LifeLongLearning Find out more at https://t.co/OVjuRpf2zP
86,Those who have taken the BC-ADM: what did you use to study? Or was it based more on gaining expertise with practice? TIA! #twitterx #diabetes #AcademicTwitter #MedTwitter #pharmacy #lifelonglearning
87,"Art Wolfe Explorer Make Art Not War 2022 - https://t.co/96q8Jyz978

#ExploreCreateInspire #FridayMotivation  #CanonLegend #photoworkshop #newsletter #ArtWolfeExplorer #transformationaltravel #lifelonglearning #photography"
88,"Bagged the 2nd!! Certified Platform App Builder.
@SalesforceAdmns
 Proud to be part of Salesforce. #awesomeadmin #lifelonglearning https://t.co/jOZ72z8Ilr"
89,"Is a creative outlet important to you?
What is yours and what does it help with?
#hobbies #creativity #lifelonglearning #OldhamHour https://t.co/G1k2usdaB1"
90,So much learning at #CATCA2022 these last 2 days! I want the videos to stay up forever so I can go back and re-watch or watch new ones when I want. ❤️ online sessions and press-recorded sessions were awesome. #EarlyRiser #LifelongLearning
91,"Love is a better teacher than duty.

Albert Einstein

#lovequotes #LOVE_LIFE_LIVE #Motivationalquote #inspiration #lifequotes #lifelonglearning #InspirationalInfluencer #PositiveThoughts #inspiringquotes https://t.co/8BR8VfZgxR"
92,"Kudos to our dedicated Adult ESOL teachers who are participating in a PLC to learn about working with refugees and learning how to better serve our students!😍
Spring info for Adult ESOL https://t.co/kPhIUR9Id7
#AdultESOL #LearnEnglish #lifelonglearning #VALRC #RefugeesWelcome https://t.co/53JfGxsaIo"
93,"Delighted to have been accepted by the CIPR community. Next development milestone, graduation from @USW 18 March. #CIPRProud #lifelonglearning https://t.co/XkFGwAFklU"
94,"Woo hoo!🤓
Enjoyed giving a 2-hr talk this morning to future #authors on HOW TO #SELFPUBLISH A BOOK as part of Academy for Lifelong Learning (ALL) program @LSC_UP. I'm looking forward to giving another ALL class next Friday on #bookmarketing.
#lifelonglearning #writingcommunity https://t.co/Dw9BUMLmDs"
95,"What makes a successful manager? 👤 
Explore the tasks that today's managers perform, and delve into the key knowledge areas that managers need to master in order to run profitable businesses! 
Register ➡️ https://t.co/5MzYuSlNOO
All courses are free! #lifelonglearning #SDG4 https://t.co/rrc9VJrbzg"
96,#FitnessGoals #StrengthTraining #MartialArts #LifeLongLearning #FridayMotivation https://t.co/ChA90cCUIP
97,"Love is composed of a single soul inhabiting two bodies.

Aristotle
#lovequotes #LOVE_LIFE_LIVE #Motivationalquote #inspiration #lifequotes #lifelonglearning #InspirationalInfluencer #PositiveThoughts #inspiringquotes https://t.co/vA7xQpsyPy"
98,"Highly recommend an essential 30 minutes session with @OCNLondon.  Experts in enabling learner progression and maximising funding

#lifelonglearning #Funding https://t.co/02rS5cCkfg"
99,"3 Binge-Worthy Books for Life-Long Learners | @Evti via @Medium 
https://t.co/ZpwPK8xB2n #lifelonglearning #lifelonglearner #adultlearning #continuouslearning #missiontolearn"
100,"Looking for virtual learning options? We offer self-paced, online courses in a variety of topics and interests. Visit https://t.co/bm7iLzt8VG for personal enrichment options or https://t.co/HGwmcfDklQ for career options. #lifelonglearning #professionaldevelopment #careertraining https://t.co/NLe9wX2ke1"
101,More workshops for Multicultural Friends Day! Making paper lanterns (and awaiting Mongolian beef) in Asian Culture &amp; Cuisine plus decorating terracotta pots after learning about sustainable agriculture. #QuakerEd #manyinterests #lifelonglearning #changeitup https://t.co/wXDUhijL6q https://t.co/V3WWb79zz3
102,Speaker Adam Lucio pointed out the importance of #lifelonglearning during today’s learning summit. #OCLearns22 #PositivelyOC #TweetOC #Adapt and #Achieve https://t.co/2DPfKlI83s
103,#poetry #lifelonglearning #mummyandme #singleparenting https://t.co/77UmgvZi3Z
104,#LifelongLearning #NATO's #VJTF //NATO is deploying the NATO response force for the first time. There are roughly #40000troops available to be deployed to Eastern Europe// https://t.co/LWt1KlyWqT
105,"""Back to the Basics"" with our Founder, Dr. Bruce Armstrong.

We wrapped up the week digging into the basics of sound, hydrophones, and transducers. 🔊

We're big believers of #lifelonglearning at GeoSpectrum, and we're excited to continue this series of ""Bruce Talks""!

#oceantech https://t.co/b5Jd2ANuFN"
106,"Leilani, a #TeamLeader from our #NYS Mid-Hudson #PGRC, expresses her excitement and reason to attend our #AnnualConference on #ProblemGambling. 

#NYCPG2022 #PGRC #Prevention #Treatment #Recovery #LifeLongLearning
https://t.co/o7mUfPNMPl https://t.co/Tqf5M7KVhc"
107,"We've all been in trial-and-error mode with video calls as ""the new normal"", What are some video call errors you've seen (or had yourself) that made you laugh? 😳
https://t.co/L9s5sIV0VJ
#lifelonglearning https://t.co/kEXp7isZcY"
108,Happy Friday! 🥳 Did you know that 73% of adults consider themselves lifelong learners? - @pewresearch #funfactfriday #lifelonglearning https://t.co/ImzSJ7BSSK
109,"Learn a leading #skill in the #FourthIndustrialRevolution: how to build role-based #CompetencyModels for your organization. https://t.co/Lf8JC8c26t
.
.
. #skillgaps #lifelonglearning #cultureoflearning #CompetencyModel #CompetencyBasedLearning #CareerPlanning #informallearning https://t.co/DFP4hqPGAn"
110,Currently in the first session of a dissociation-focused clinical supervision &amp; consultation group and SO EXCITED about it 🤓 #LifelongLearning
111,Love #listening to the brilliant @jenniferabrams speak! #learning alongside my @STSConnections colleagues this morning about stretching our edges and suspending certainty! Excellent session! #lifelonglearning https://t.co/47qDDO7MYi
112,"Do you need FREE resources for the AWS Solutions Architect Associate Certification?

If so, Viktoria Semaan has you covered. Find 5 🆓 resources below
#awscertification #cloud
#LifelongLearning 
👇 https://t.co/g44CqjjHn3"
113,"Looking for Spring PD check out the new offerings for Math, Science, Makerspace, Design Thinking, and more STEM related topics being offered at CMSCE. https://t.co/VtfTfFqrjy
#Rutgers #lifelonglearning #makerspace #STEM  @RutgersCE"
114,"To cope with stress, learn something new – science says it works | by @HarvardBiz https://t.co/DsZQ558Hz6 #assnchat #lifelonglearning #asssociations https://t.co/zHws3jSOr5"
115,@sluppypuppy43 Cam is in AP BIO as we speak #lifelonglearning
116,".@TeresaIronside, our Director of Data Science Education, summaries how universities can pivot to meet workplace demands by delivering more accessible education in this article from 
@timeshighered.

https://t.co/NI1oFhbgVv 

#lifelonglearning #highereducation"
117,Building a tribute page to @WillieNelson as part of my #webdev education. Willie holds a special place in my family history; he’s the genuine article! Looking forward to creating a website to showcase my own music! #webdevelopers #singersongwriter #lifelonglearning
118,"@ps_zeitung @ewyler Spannend! Denn das nächste (Mumps?) Virus lauert schon https://t.co/w5yNxv4PFX - aber keine Sorge, wir lernen täglich dazu #lifelonglearning, hier: #Virologie"
119,"AONTAS is Hiring - February 2022 | Aontas #LifelongLearning 

https://t.co/zK4qm7f7un"
120,"#Personalized approaches to #education encourages #lifelonglearning, #empowers students, &amp; brings #purpose to their #learning. It’s #powerful stuff! Thanks @MrAtheyounger for sharing this great read📖  #teacher #leadership #middleschool #LearningIsFun #edutwitter https://t.co/5SP4mGSD8Q"
121,My students for 6 weeks ☺️ #LifelongLearning https://t.co/j9qyr4dV0o
122,"Regard d'experts @JoseGramdi &amp; @MBAYE_SUP2CO    sur la transformation industrielle : téléchargez notre Livre Blanc ""Transformations et performance - Comment le monde industriel change et s'adapte ? "" + d’infos : https://t.co/x1TBVIcppF #formationpro #alternance  #lifelonglearning https://t.co/8H9F5JSKgy"
123,"Register now: https://t.co/FpZ12OBZXj

#SMFS #universityoftennessee #professionaleducation #lifelonglearning #smokies #hike #hiking #hikinggear #knoxville https://t.co/baXlTXxOTh"
124,"https://t.co/Wh5GsDO43E 
#family #mentalhealth #Awareness #MAMA #lifelonglearning https://t.co/zi3rGKVdKm"
125,"Één van de leukere dingen van mijn werk vind ik onderwijs geven. Nu bereid ik een uitgebreide scholing voor over de hielprikscreening. Deze ga ik geven aan screeners van een jgz-organisatie, een GGD in dit geval. #preventie #lifelonglearning  https://t.co/gpa9Ykt96D https://t.co/RajrMXQvBD"
126,"Select your child’s summer camp:

https://t.co/969Y6OvQje

#KidsU #summercamps #camps #youthcamps #professionaleducation #lifelonglearning #knoxville https://t.co/FeRkf3M7im"
127,"📝 Let your project steep. The more unfamiliar we are with our work, the better we’re able to objectively tackle any changes that need to be made. 

https://t.co/C9XTLvJXE0  

#amediting #amwriting #selfpub #indiepub #udemy #lifelonglearning #ITeachWithUdemy https://t.co/f8pprWjwJI"
128,"Dr. Ivanova, a professor of #management, is one of the many subject matter experts we work with through our corporate programs at @RMU - https://t.co/BHuEeTYapS
#lifelonglearning #continuingeducation https://t.co/NwfYHmydZX"
129,"Wir wünschen ein schönes Wochenende!
We wish you a nice weekend!
#lebenslangeslernen
#lifelonglearning https://t.co/W5BLIo68gC"
130,Congratulations to Kashish from #India!  We're proud of yet another driven @Chandigarh_uni student completing our courses. 🙌 Upskill yourself at no cost. Sign up here ➡️https://t.co/8Cc9oKoqmf #LifelongLearning https://t.co/VHDIIkvVTE
131,"Optimize your cloud resources to improve efficiency and performance. Find out how AWS SysOps training powers you to meet new goals. 
Read the blog: https://t.co/obJunPlx6T
#AWSTraining #SysOpsAdmin #SysOpsTraining #SysOpsAdministrator #AWSSysOps #NetComLearning #LifeLongLearning https://t.co/whGm0AZQ5l"
132,"In the spirit of #LifelongLearning, I have so many questions for #OphthoTwitter: https://t.co/hvheFy6OlZ"
133,"Microsoft launched the DP-420 Azure Cosmos DB Developer Specialty certification. Find out how software developers can prepare for the certification exam. 

Read the blog: https://t.co/wTgxFHxBGa

#Microsoft #CosmosDB #AzureCertification #NetComLearning #LifeLongLearning https://t.co/meUMI2X9nA"
134,"Happy #ThankAResidentDay!!   To all the 
@UNCObGynRes residents (and our @UNCOBGYN fellows), I sincerely appreciate the opportunity to participate in your education and the chance for you to educate me!  #lifelonglearning https://t.co/Iki4NafHr6"
135,"In the online class, “Become an Optical Assistant”, you’ll learn why optical assisting is such as interesting job and how rewarding it can be to help people solve their vision problems.  https://t.co/ErlDc7BUVu #lifelonglearning #WCPSS #BecomeAnOpticalAssistant https://t.co/OR4UZsJl6j"
136,"All the #quotes I post are my own and based on my writings unless otherwise specified.

If you like the quote and there's a link consider #reading the essay associated with it 🙏

https://t.co/GNjnH5w5jJ 

.
#lifelonglearning #growth 
#motivation #awareness 
#TheTwinPowers #Quote https://t.co/oSySOYAc3s"
137,"I am starting the 2nd 1/2 of my Yearlong LOOP this coming week!  I have learned so much about myself and have grown from the training, survey, and group campfire discussions.
DM with questions! #lifelonglearning https://t.co/fRaG5u4Tpc"
138,"Morning arrives and the connection is extremely calm and comfortable. I share my gratitude, I seek direction and truth. It is given always from the source. I rise, I continue my beautiful morning. I love all. I teach all who will hear.
#lifelonglearning #CycloTurtles #healing"
139,Excited to learn from you all! #CHESTTrainees #LifeLongLearning! @drdangayach @virenkaul @ChrisCarrollMD https://t.co/2ChFfNY75W
140,"To destress cake 🍰 pineapple upside Down is definitely Yummy 😋 some days are cheat Days and so it’s welcome .. Moreover , when. Next morning u have #Exams to give 🤦‍♀️ #lifelonglearning #CoffeeLover https://t.co/T0oqVPChu9"
141,"In April we’ll be launching our Fully Funded 4 day Level 4 Intrapreneurship course! ✨

Come along to learn Intrapreneurial skills and how to benefit your business 👀 

📅4th-6th April, 2022

👇
https://t.co/s66GNfcLho

#intrapreneurship #lifelonglearning https://t.co/V3h8YaUfRc"
142,"Every morning, affirm yourself.
And sign on to https://t.co/X4zTP08ArT.
#positiveaffirmation #onlinecourses #lifelonglearning #fridayaffirmation #confidence #elearning 
#affirmation #sayitloud https://t.co/tQPZc9WLlY"
143,"The ONE Thing You Should Do for Your Employees Right Now - Lead Morale! 

► https://t.co/sRYgeyY78z

#ServantLeadership #Humility #Learning #LifeLongLearning  #LeadershipofService #LeadMorale #PeopleSkills #Appreciation #Respect #Trust #Dignity https://t.co/U2P4aJ8Y1l"
144,"To all people passionate about #AdultLearning and #lifelonglearning!

Great opportunity to work with @aontas! 👇🏾 https://t.co/lpoOS4q3gb"
