,content
2429,Writing Fiction (ii) starts on Zoom Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/edF6DhrCMU
2446,Writing Fiction (ii) starts on Zoom Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/whx7aBtSzt
2545,"We are delighted to announce that LLL Festival's 2022 theme is ""Learn Something New in 2022"".

#LLLFestival2022 will take place on 23rd-29th May so save the date whether you wish to host an event or take part.

#getinvolved #lovelearning #lifelonglearning #unesco #learningcities https://t.co/zS2l8QlGty"
2672,How can we engage with #lifelonglearning? This has become a popular topic within #HigherEducation settings in recent years. #TCDMicroCreds are designed to support lifelong learners wishing to keep pace with constantly changing industries. Learn more: https://t.co/WCNg7v0fJt https://t.co/KALcF985E3
2751,"Fantastic to hear from the Lord Mayor of Dublin, celebrating #EducationDay and promoting the importance of #lifelonglearning https://t.co/46QgjOfUhG"
2758,"Very well said @KateNicholl  #BelfastLearningCity
#lifelonglearning 
#EducationDay https://t.co/FavHSzMCkj"
2772,"Interested in hosting #LLLFestival2022 event?

Hear from Ciara Farrell, from Limerick Local Enterprise Office on her experience of running events for the LLL Festival. 

#getinvolved #lovelearning #lifelonglearning #learningcommunities  

https://t.co/UfWEFLNPX7"
2832,"Engaged research tackling youth crime, justice and partnership. Compelling viewing examining @UL Prof @SeanRedmond20 Greentown Project and @MaynoothUni  Dr Sarah Sartori on Story Exchange TONIGHT 8.30 @RTEOne #IUAChangemakers #lifelonglearning #Criminology https://t.co/6IGNkVH9ZS"
2844,"Let's celebrate the International Day of Education together! @UIL @IrishLearning
 #lifelonglearning #learningcommunities https://t.co/rIM8wIzqCG"
2854,Interested in developments in micro-credentials on a European level? @EU_Commission recently published Proposals for a Council Recommendation on a European approach to micro-credentials. @IUAMicroCreds contributed to this consultation process. #lifelonglearning #MicroCredsIE
2890,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/TrKIie5wp5
2912,"We'll start! 
""In 2022, #AdultLearning should be inclusive!"" 
 
Check out the #OneStepUp website for some inspirational stories from people who have found their own path to #LifelongLearning:  https://t.co/Mwibx4UR2T"
2917,"Today we are delighted to celebrate the International Day of Education, and our membership of the UNESCO Global Network of Learning Cities. 

#unecso #leanringcommunities #lifelonglearning #learningcommunities https://t.co/YiJuTXO9wP"
3111,"The 1st international BA degree in #LifelongLearning &amp; sustainable development opens for applications tomorrow. It offers ""an opportunity to learn, in a multicultural and diverse context, how sustainable development can be advanced locally and globally""👇
https://t.co/sCeXKeNPZi"
3319,"Opening all things scientific to our #BelfastLearningCity &amp; beyond. Workshops, exhibitions for all ages available across NI. An amazing line-up of must-see events. #lifelonglearning #STEM #adulteducation #familyevents https://t.co/1QOJp0qJpi"
3347,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PRrc5w ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/AbwukanaZZ
3470,"Interested in hosting #LLLFestival2022 event?

Hear from Jennifer Moran Stritch on her experience of running Death Café events for the LLL Festival. 

#getinvolved #lovelearning #lifelonglearning #learningcommunities 

https://t.co/0uqyxUHYl3"
3482,Breaking new ground with MicroCreds Innovate: data informed university- enterprise collaboration in #microcredentials Focus Event #zerocarbon #lifelonglearning @IDAIRELAND @ibec_irl @Entirl @SkillsDublin @CplResources https://t.co/hSO7CPoT8S
3485,All set for @IUAMicroCreds MicroCreds Innovate Zero Carbon Focus Event this morning. Enterprise and universities working together to co-design #microcredentials to address #zerocarbon skills challenge #MicroCredsIE @IUAofficial @IUA_Academic #lifelonglearning https://t.co/UxdHiUCRNX
3541,"Bildung in #LifelongLearning is about a person's emotional, moral, and intellectual development, their relationship to culture, heritage, and citizenship. Read more👉https://t.co/dQbo39DdDc   
#BildungALE #ErasmusPlus @EAEA2020 https://t.co/IlYxAnGNQD"
3558,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/XNLO51AGus
3738,12 new #microcredentials starting in March @UL Great opportunity to #upskill  in range of in demand fields @GPS_UL @IUAofficial #MicroCredsIE #lifelonglearning https://t.co/DWKd8Xp4oR
3739,Thinking of upskilling? Check out 12 #microcredentials options from @GPS_UL starting in March #MicroCredsIE #lifelonglearning https://t.co/Wq4rfkHHab
3837,"@AskAIB @JonesJonesdavis Its curious that AIB's main competitor is able to answer calls in 20 minutes or so. What will it take to make AIB recognise this service issue I wonder?
#lifelonglearning #Management #managedDecline"
3841,"What is #BildungALE and why is it important for #LifelongLearning and #AdultEducation? ""These experiences create emotional depth and higher moral aspirations"" - @andersenske explains more in this video, take a look 👀@EAEA2020 #ErasmusPlus https://t.co/MV5Kho6QlJ"
3860,"Thinking of hosting festival event this year?

Why not #getinvolved in the #LLLFestival2022 taking place between 23rd and 29th May? 

Follow us on Facebook @limericklifelonglearningfestival and Twitter for festival updates.

#lovelearning #lifelonglearning #learningcommunities https://t.co/se7w9uBBN9"
3865,"What is ""Bildung""? This new @EAEA2020 project empowers people to integrate #LifelongLearning for their own social, cultural, and political development and beliefs, throughout their lives. Read more👉 https://t.co/dQbo39DdDc  #BildungALE #ErasmusPlus https://t.co/Nn9nqeJJvg"
3867,"Uefa A License interview done, #lifelonglearning @FAICoachEd 🧠 ⚽️ 📚 💻"
3949,"The Irish Network of Learning Cities works together to celebrate learning and highlights what’s on offer across the cities and city regions.

#UNESCO #learningcities #learningcommunities #lifelonglearning #IrishNetwork https://t.co/tCJe9T8OYI"
3950,WRITING FICTION (ii) is for anyone who enjoys writing. Course starts Wed 2 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #irishswriting https://t.co/EwF7GHX8jY
4044,"2/  The project will promote and enable #LifelongLearning, and support marginalised and vulnerable learners #EAAL"
4105,@Fran_Tastic1 #Lifelonglearning 🙌 good on you
4107,#lovelearning #lifelonglearning #learningcommunities #learnandbewell https://t.co/59IF2kekei
4112,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/DlEyCplIci
4117,"Last chance to apply for @tcdengineering #Microcredentials in XR, Motion Picture, Spactial Audio and Advances Spatial Analysis. Great opportunity to upskill #MicroCredsIE #lifelonglearning https://t.co/VDzKDtJGHJ"
4182,"Give It A Go Choir from our friends @librariesNI Make 2022 the year where you do something new for you.
#lifelonglearning
#BelfastLearningCity https://t.co/mP6HNL7eCT"
4213,"Weekend's reflection: ""The saddest aspect of life right now is that Science gathers knowledge faster than society gathers wisdom."" Isaac Asimov

#productivity #society #creativity #wisdow #lifelonglearning #lifelonglearner"
4303,"Interested in #upskilling?

 @tcddublin offers #lifelonglearning, masterclasses and microcredentials to learners of all levels under the Human Capital Initiative. 
https://t.co/CoRDv1A46R 
@tcdmicrocreds @TCDBusiness @tcdengineering @TCDCareers #HCI #TCDAlumni https://t.co/dhouh5Hlmm"
4319,@aontas @SOLASFET @ETBIreland @DeptofFHed Obstacles are many BUT ALL CAN BE OVERCOME! #lifelonglearning
4331,👏👏👏 #lifelonglearning https://t.co/KUsTvCNis8
4410,2/ The Community Education Network (CEN) brings together independent community education practitioners from across Ireland to collaborate and share knowledge. Read more about the meeting and what's involved: https://t.co/69Ne19LvfO #CommunityEducation #LifelongLearning
4414,1/ Today is #NollaigNamBan and we're celebrating the achievements of women in #AdultEducation and #CommunityEducation. #AONTAS member @LWLLongford provides back-to-education and training for women who left school early or had to leave work when they got married #LifelongLearning https://t.co/lwQsCvrQHy
4476,"The research shows that the benefits of good education and lifelong learning extend into old age. https://t.co/9fbBNlsjfc 
#lifelonglearning #highereducation #MicroCredsIE"
4523,Some great options for coaches of all levels here 👍⚽ #lifelonglearning https://t.co/sr4alUOsPX
4548,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/UIHLOdACQf
4554,"AONTAS has long advocated for 
educationally-disadvantaged adults and #LifelongLearning. We welcome the @DeptofFHed focus on ""equity of access and participation in the #HigherEducation sector."" For more on #AONTAS's recommendations, click here👉https://t.co/16xE63UlYd https://t.co/DxGGbl5IiA"
4558,"Why is education so important? Check out the #AONTAS One Step Up website for more about returning to learning and its benefits 👉 https://t.co/hhcNHfauBe
#LifelongLearning #OneStepUp https://t.co/OMbAmPoHBm"
4765,#DataMining with WEKA for the .@HSE_DA MSc. A whole new language and set of skills I’m (attempting) to acquire! #LifelongLearning #WeHSCPs #DigitalTransformation #DHTProject @martingcurley1 @cullenrossi @ul @IPPOSI
4869,We are living in an ever-changing world so it is important for us to keep pace with industry and societal changes. Micro-credentials are designed to provide #lifelonglearning  opportunities to achieve personal and professional development #TCDMicrocreds #MicroCredsIE https://t.co/PHxFCHalc9
4876,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PRrc5w ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/xcA2nffnyd
5133,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PR9BdY ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/vcoAsnuudJ
5183,"2/ Much of #AdultLearning occurs outside of formal education institutions like schools, universities and colleges. Validation aims to give visibility to this learning and its benefits for the individual and the community #LifelongLearning"
5190,"The #LLLFestival2022 will be held on Monday 23rd - Sunday 29th May.  We are looking forward to working with our event organisers to create a wonderful programme of events to engage our learners. 

#lifelonglearning #lovelearning #learningcommunities #learningcities #unesco https://t.co/OKcdIJCe0U"
5197,"In November, @aontas hosted an online meeting bringing together #AdultLearning organisations from across Ulster to look at how we can collectively improve learning experiences for 
adult learners across Ireland #LifeLongLearning 
For more 👉 https://t.co/R7HM4z1kLh https://t.co/Oncy3uF6tm"
5258,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PRrc5w ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/cxwj0fHaPc
5262,"Listen to Harun Siljak from @tcdengineering School talks about how micro-credentials from Trinity facilitates engineers' career development! More information about these short, flexible, and accredited MCs at https://t.co/FhZulG8oy7
#microcredential #lifelonglearning #engineers https://t.co/xOLSHex8Vz"
5263,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/IrqRBvXzQj
5384,"The #TOSWITCH project aims to improve and create new training opportunities for adults, specifically in relation to their jobs and the workplace #LifeLongLearning #AdultEducation 

Learn more 👉 https://t.co/QenDBFE4s3 https://t.co/xQtp4kwX0m https://t.co/wrwJuTyBop"
5417,"We were delighted to have our Mayor of Limerick Councillor Daniel Butler present at the UNESCO Global Learning Cities Conference in October on the theme of ‘Approaches for inclusive education in learning for health’. 

#unesco #lifelonglearning #lovelearning #learningcities https://t.co/wLu9EWSa58"
5486,Writing Fiction (ii) starts on Zoom Wed 22 Feb for 8 weeks. Further info and booking: https://t.co/XwI1PRrc5w ; phone: 01 7167123   #lifelonglearning #UCD #irishfiction #Writing https://t.co/HJjvDhunIz
5489,"Considering signing up for an online course?

Here are some tips for successful online learning.

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/nHkrn7zOlE"
5511,Calling all #engineers Interested in fast tracking your career development? @tcdengineering has cutting edge micro- credentials starting early 2022 @tcdmicrocreds @EngineerIreland #MicroCredsIE #microcredentials #lifelonglearning https://t.co/vYI6GjxtkN
5551,"Thank you to all who attended our study day today and in particular a huge thank you to all of our speakers @AshwiniRaoOT Amy Fieldhouse, Nita Desai and @DrGilTippy ! A great day of reflection and learning #aidsigslt #lifelonglearning"
5566,"For #engineers looking to upskill in the New Year, @tcdengineering micro-credentials are a flexible, accredited and industry-relevant choice. Explore high-quality, bite-sized learning experiences starting in January https://t.co/xNunVlq8IX #TCDMicrocreds #lifelonglearning https://t.co/tPkBXV4uTu"
5578,"Received this via email today and I’m delighted. It was a long few months, full of assignments, but definitely well worth it. Thanks to @FAICoachEd and in particular @jayglynn2167 for all his advice, feedback and help over the past few months - top man! 👍🏼👍🏼 #lifelonglearning https://t.co/FCWMkhtACG"
5593,"Catherine Francis, an inspirational learner from Derry Strabane Learning City @learningcityds shared her own learning journey at the recent 'Conversations with Learners' event organised by the #IrishNetwork of #LearningCities.

#lifelonglearning #unesco 

https://t.co/B6ZeEURujk"
5649,"One of the Sustainable Development Goals (#SDGs) of @Education2030UN is to ""ensure inclusive and equitable quality education and promote #LifelongLearning opportunities for all"". @DearbhailLawles spoke about the #CommunityEducation work of @nccwn_roscommon today @UNESCO https://t.co/S7QjD25mVf"
5679,"Our networking meeting was enjoyed by all last week. Special thanks to our event organisers who shared their reflections of running events for the festival on their amazing short videos 

#lifelonglearning #lovelearning #LLLFestival2022 https://t.co/iPHFNefbNn"
5691,Catch up with the #FEPSTalks podcast on the right to #lifelonglearning in backdrop of @EU_Commission important proposal  for the establishment of individual learning accounts #microcredentials https://t.co/IAIP6yICJY
5762,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/FUE8pI3ZGE
5771,We're delighted to see the European Commission report on #lifelonglearning as part of the #EUSkillsAgenda. Great to see the important role of micro-credentials for lifelong learning and employability highlighted #TCDMicrocreds https://t.co/kptTzj0XYb
5914,"We reflect how wonderful this year has been for the #irishnetwork of #learnngcities; particularly with @dublearningcity and @belfastlearning winning the UNESCO Learning City Awards 2021! 

#learningcities #unesco #lifelonglearning https://t.co/4ih2TIVdF8"
5920,Thanks for the invitation to participate @QQI. Very stimulating discussion and plenty of common ground identified @KlausVeil @ProfessionsAus @SOLASFET #MicroCredsIE #microcredentials #lifelonglearning https://t.co/1uQLY4KTss
5967,"Interested in equality, diversion and inclusion? Upskill with @ACEUCC new Micro-credential #MicroCredsIE @IDAIRELAND @Entirl @ibec_irl @Athena_SWAN #microcredentials #lifelonglearning https://t.co/KSWMyiV1uU"
5973,"Interested in equality, diversity and Inclusion? Upskill flexibly with this Innovative  new micro-credential from @UCCAppSoc @IUA_EDI @hea #MicroCredsIE #microcredentials #lifelonglearning https://t.co/tkNleZ4rPB"
5985,Looking forward participating tomorrow @QQI_connect #microcredentials #lifelonglearning #MicroCredsIE @IUA_Academic @hea_irl https://t.co/x1JbvQlNED
5992,"Delighted to complete the UEFA GRASSROOTS LEADERS through @FAICoachEd big thanks to @Ianhill7316 , @CarberryTommy &amp; peers along the way for sharing all experiences #FAI #FAICOACHED #LIFELONGLEARNING https://t.co/0iCH0Yyj6G"
5997,"Read about Karen O'Donovan's fantastic story of #OnlineLearning during #COVID19 in the new @aontas Adult Learner Journal 2021 👉
https://t.co/AMA2EOfQS3

#ALJ2021 #AdultLearnerJournal #LifelongLearning #AdultEducation #ThisIsFET https://t.co/u4CwUTrQ7b"
6104,Aontas @aontas has launched the #AdultLearnerJournal for 2021... inspiring adult learning story from Karen O Donovan #lifelonglearning https://t.co/SjzMQHFt7M
6314,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/gMB9VKN3z6
6473,"Learning Limerick was delighted to be profiled and have its case study included in the recent UNESCO Publication 'Entrepreneurship Education for Learning Cities'. 
See report at -  https://t.co/DTWv0ID9QR

#lifelonglearning #unesco #learningcities https://t.co/6acrEG7rCe"
6522,@nbrez Loved this!!Enjoy them all but this from left field offered hope &amp;positivity where I have seen no way out of this cycle of self interest &amp;the loss of that tribe/community spirit I grew up with when we looked out for each other. Please more expanding on this 🙏 #lifelonglearning
